Oscar Voice Cloning Test - Sat Dec 27 01:46:37 CST 2025
========================================
CB-ML | en | friendly | take=2 seed=1807 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-en-friendly-take2-seed1807.wav
CB-ML | en | friendly | take=3 seed=8080 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-en-friendly-take3-seed8080.wav
CB-ML | en | casanova | take=1 seed=9518 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-en-casanova-take1-seed9518.wav
CB-ML | en | casanova | take=2 seed=3606 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-en-casanova-take2-seed3606.wav
CB-ML | en | casanova | take=3 seed=193 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-en-casanova-take3-seed193.wav
CB-ML | es | deep | take=1 seed=6435 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-es-deep-take1-seed6435.wav
CB-ML | es | deep | take=2 seed=2927 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-es-deep-take2-seed2927.wav
CB-ML | es | deep | take=3 seed=793 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-es-deep-take3-seed793.wav
CB-ML | es | troll | take=1 seed=1962 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-es-troll-take1-seed1962.wav
CB-ML | es | troll | take=2 seed=3007 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-es-troll-take2-seed3007.wav
CB-ML | es | troll | take=3 seed=7040 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-es-troll-take3-seed7040.wav
CB-ML | es | friendly | take=1 seed=6889 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-es-friendly-take1-seed6889.wav
CB-ML | es | friendly | take=2 seed=4513 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-es-friendly-take2-seed4513.wav
CB-ML | es | friendly | take=3 seed=160 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-es-friendly-take3-seed160.wav
CB-ML | es | casanova | take=1 seed=9161 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-es-casanova-take1-seed9161.wav
CB-ML | es | casanova | take=2 seed=7195 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-es-casanova-take2-seed7195.wav
CB-ML | es | casanova | take=3 seed=4823 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/chatterbox-multilingual/cb-ml-es-casanova-take3-seed4823.wav
Oscar Turbo Voice Cloning Seeds
========================================
TURBO | en | regular | take=1 seed=1887 | turbo-en-regular-take1-seed1887.wav
TURBO | en | regular | take=2 seed=3444 | turbo-en-regular-take2-seed3444.wav
TURBO | en | regular | take=3 seed=6050 | turbo-en-regular-take3-seed6050.wav
TURBO | en | deep | take=1 seed=9721 | turbo-en-deep-take1-seed9721.wav
TURBO | en | deep | take=2 seed=1911 | turbo-en-deep-take2-seed1911.wav
TURBO | en | deep | take=3 seed=7443 | turbo-en-deep-take3-seed7443.wav
TURBO | en | troll | take=1 seed=7508 | turbo-en-troll-take1-seed7508.wav
TURBO | en | troll | take=2 seed=7021 | turbo-en-troll-take2-seed7021.wav
TURBO | en | troll | take=3 seed=3509 | turbo-en-troll-take3-seed3509.wav
TURBO | en | friendly | take=1 seed=7522 | turbo-en-friendly-take1-seed7522.wav
TURBO | en | friendly | take=2 seed=4096 | turbo-en-friendly-take2-seed4096.wav
TURBO | en | friendly | take=3 seed=635 | turbo-en-friendly-take3-seed635.wav
TURBO | en | casanova | take=1 seed=6519 | turbo-en-casanova-take1-seed6519.wav
TURBO | en | casanova | take=2 seed=5323 | turbo-en-casanova-take2-seed5323.wav
TURBO | en | casanova | take=3 seed=7093 | turbo-en-casanova-take3-seed7093.wav
